PRICE,FLOOR,BEDROOM,BATHROOM,ROAD,LAND,AGE,Cities,LAND_squared
2.9,3,5,4,12,4.0,5,4,16.0
4.75,4,5,6,10,3.0,5,4,9.0
1.99,2,4,4,10,2.3,21,4,5.289999999999999
4.0,2,4,3,12,7.0,22,4,49.0
1.2,2,4,4,20,6.0,10,3,36.0
2.7,2,6,5,12,6.0,5,4,36.0
3.3,2,4,3,13,3.2,7,4,10.240000000000002
4.0,2,5,4,14,4.3,16,3,18.49
4.5,5,13,5,10,2.2,15,3,4.840000000000001
3.0,3,5,5,12,5.0,6,4,25.0
4.99,3,6,5,13,5.2,2,4,27.040000000000003
2.45,2,4,2,16,3.0,11,3,9.0
2.5,4,4,5,13,4.0,3,3,16.0
4.25,2,4,4,20,4.0,3,4,16.0
6.5,2,4,5,12,6.2,4,4,38.440000000000005
3.6,2,4,5,13,4.2,4,4,17.64
5.8,3,6,6,14,5.0,3,4,25.0
2.5,3,5,7,12,3.2,3,4,10.240000000000002
4.8,3,4,4,16,5.2,4,4,27.040000000000003
6.65,3,4,5,20,4.1,4,3,16.81
5.5,2,4,5,12,5.0,3,4,25.0
4.75,2,4,4,20,3.1,6,4,9.610000000000001
2.95,3,5,4,13,3.2,6,4,10.240000000000002
6.35,2,5,3,10,5.0,3,4,25.0
6.4,2,4,4,26,7.0,6,4,49.0
3.5,2,3,4,20,4.0,1,4,16.0
2.2,2,6,5,16,3.0,3,3,9.0
3.75,2,4,4,16,3.0,3,4,9.0
5.5,3,6,7,13,4.2,4,4,17.64
5.5,2,4,4,13,3.3,6,4,10.889999999999999
3.19,2,5,3,13,4.1,3,4,16.81
2.5,2,4,3,13,3.0,7,3,9.0
6.25,2,5,6,13,6.4,3,4,40.96000000000001
2.8,2,4,4,12,2.2,3,4,4.840000000000001
4.8,2,6,4,25,5.0,3,4,25.0
2.5,3,5,3,13,3.1,5,4,9.610000000000001
3.35,2,4,2,19,5.0,5,4,25.0
3.5,2,4,3,19,5.0,6,4,25.0
4.0,2,4,5,18,4.0,5,4,16.0
6.0,2,5,3,13,7.0,5,4,49.0
2.5,2,4,4,12,3.5,10,4,12.25
2.7,2,5,4,12,3.3,3,4,10.889999999999999
2.75,2,5,4,12,3.0,7,4,9.0
3.25,2,6,4,15,3.3,4,4,10.889999999999999
2.8,2,5,4,13,3.1,3,4,9.610000000000001
3.1,3,6,4,12,3.2,3,4,10.240000000000002
4.0,2,4,4,13,5.0,4,3,25.0
3.5,2,3,3,15,6.0,6,3,36.0
3.15,2,6,5,20,5.2,3,4,27.040000000000003
2.9,2,6,6,13,3.2,4,4,10.240000000000002
4.25,3,5,4,20,4.2,3,4,17.64
4.65,2,4,4,12,4.0,7,4,16.0
4.0,2,5,4,20,4.0,1,4,16.0
5.95,3,6,5,16,5.0,3,4,25.0
3.9,2,4,4,13,5.0,3,4,25.0
3.2,3,8,3,13,4.0,3,4,16.0
3.25,3,8,3,13,4.0,4,4,16.0
5.15,2,4,4,20,7.1,7,4,50.41
3.5,3,8,6,10,4.0,6,3,16.0
3.25,2,4,4,20,4.3,3,4,18.49
3.2,2,5,6,13,3.1,7,3,9.610000000000001
5.5,2,5,3,13,5.2,6,3,27.040000000000003
2.3,2,5,3,13,2.3,7,4,5.289999999999999
1.7,2,3,3,20,3.3,3,3,10.889999999999999
2.4,3,5,4,13,2.3,4,4,5.289999999999999
2.75,2,4,4,13,4.0,7,4,16.0
2.25,2,4,3,13,3.2,7,4,10.240000000000002
1.8,2,4,4,13,4.2,3,4,17.64
2.5,2,3,3,14,3.2,4,4,10.240000000000002
1.65,1,1,1,13,3.1,7,4,9.610000000000001
5.1,2,5,5,12,6.3,3,4,39.69
5.99,2,5,3,20,7.0,4,4,49.0
3.25,2,4,3,20,4.3,7,4,18.49
2.75,2,5,5,13,3.2,4,4,10.240000000000002
1.27,1,2,1,13,4.0,7,0,16.0
2.25,2,4,4,20,4.0,13,3,16.0
6.1,3,6,4,18,6.0,11,4,36.0
3.69,3,5,4,18,4.1,2,4,16.81
2.3,2,3,2,20,2.3,11,4,5.289999999999999
3.2,2,5,5,14,4.0,2,3,16.0
1.55,2,6,3,20,3.2,3,0,10.240000000000002
4.25,2,7,6,13,4.2,1,3,17.64
6.5,2,9,4,24,7.0,7,3,49.0
3.5,2,6,5,15,4.0,5,3,16.0
2.8,3,6,6,16,3.2,5,3,10.240000000000002
1.33,1,2,1,13,3.0,4,4,9.0
1.6,2,4,2,13,2.2,6,4,4.840000000000001
2.5,2,4,4,13,3.1,13,4,9.610000000000001
2.8,2,5,4,20,3.0,5,4,9.0
2.7,2,5,3,14,3.2,5,4,10.240000000000002
3.99,2,5,5,16,4.2,5,4,17.64
4.99,3,4,4,16,5.0,5,4,25.0
